,compSize,skill,experience,education,salary
353,325.0,8,2.0,2,17.5
354,100.0,10,4.0,2,20.0
355,1250.0,3,0.0,2,16.5
356,1250.0,4,2.0,2,30.0
357,1250.0,11,4.0,2,9.0
358,325.0,8,4.0,2,26.5
359,1250.0,2,2.0,2,20.0
360,1250.0,1,2.0,2,12.5
361,325.0,7,4.0,2,20.0
362,2000.0,2,4.0,2,22.5
363,325.0,9,4.0,2,22.5
364,100.0,5,2.0,2,6.5
365,100.0,5,7.5,1,20.0
366,100.0,6,4.0,2,16.0
367,100.0,8,4.0,2,27.5
368,2000.0,6,4.0,2,22.5
369,2000.0,8,4.0,1,15.0
370,100.0,4,4.0,2,22.5
371,100.0,13,2.0,2,8.5
372,2000.0,6,4.0,2,20.0
373,100.0,5,4.0,2,26.5
374,100.0,8,4.0,2,11.5
375,100.0,5,4.0,2,16.5
376,1250.0,7,4.0,2,19.5
377,100.0,3,4.0,2,16.0
378,32.5,11,2.0,2,10.0
379,2000.0,5,4.0,2,30.0
380,325.0,12,0.0,1,20.0
381,1250.0,16,4.0,0,12.5
382,325.0,10,4.0,2,24.0
383,2000.0,1,7.5,2,60.0
384,325.0,8,4.0,2,22.5
385,1250.0,3,4.0,2,20.0
386,1250.0,8,4.0,2,15.5
387,325.0,26,4.0,2,25.0
388,325.0,2,2.0,2,20.5
389,100.0,13,7.5,1,22.5
390,100.0,6,4.0,2,21.5
391,15.0,0,4.0,2,22.5
392,1250.0,3,4.0,2,22.5
393,100.0,3,4.0,1,17.5
394,2000.0,1,2.0,1,7.5
395,32.5,3,4.0,2,10.5
396,2000.0,11,4.0,2,22.5
397,325.0,8,4.0,2,15.0
398,100.0,15,4.0,0,22.5
399,325.0,5,2.0,2,12.0
400,325.0,4,4.0,2,22.5
401,325.0,5,4.0,2,20.0
402,325.0,8,7.5,2,20.0
403,325.0,5,2.0,2,17.5
404,325.0,3,4.0,2,25.0
405,2000.0,17,4.0,1,11.5
406,32.5,11,7.5,1,15.0
407,2000.0,8,7.5,1,22.5
408,2000.0,7,7.5,0,20.0
409,325.0,1,7.5,2,15.0
410,1250.0,10,7.5,2,23.0
411,32.5,5,4.0,1,20.0
412,2000.0,13,4.0,2,15.0
413,2000.0,2,4.0,2,15.0
414,100.0,4,4.0,2,16.0
415,325.0,4,4.0,2,11.5
416,1250.0,16,4.0,2,13.5
417,32.5,8,7.5,2,22.5
418,2000.0,2,4.0,2,16.0
419,1250.0,7,7.5,2,20.0
420,1250.0,13,7.5,2,24.0
421,100.0,10,4.0,0,20.0
